No of indents,Hardness (GPa),Reduced Young Modulus (GPa),Young Modulus (GPa),Stiffness (uN/nm
405,3.74104525750813,37.1927233319236,34.9810496378267,71.9623846598726
406,1.67752872691611,-33.6548365905821,-29.7518765600383,-97.2426357006688
407,2.67315467084793,141.651752957534,147.090391009045,324.229571334103
408,3.03604509548986,100.078678777485,99.7889784306877,214.946724835483
409,3.23064244791615,141.216708078173,146.575127702833,294.024773074873
410,2.78583538907397,161.658439291277,171.278413904965,362.463701005069
411,2.817209778657,141.768118796677,147.2282893852,316.091172586797
412,2.78143675683903,67.3433806799541,65.1098746197088,151.113914168069
413,3.96904054160133,57.6276566764153,55.2188338495354,108.251006479964
414,5.83071785288578,67.6996937850714,65.4760067382549,104.922277527614
415,2.79558999178376,337.642265784334,435.652711070216,755.721491166568
416,2.64431427701366,321.508543537362,406.714359623866,739.908025020175
417,2.34087329368018,367.26086489728,491.901069219815,898.314377434139
418,2.88857828317807,371.956580845246,501.214177221281,819.017065085141
419,2.47093936730206,365.229521963762,487.90699492654,869.520481002877
420,2.98936438613482,227.15710323659,257.838219254929,491.678198745816
421,2.81707129450147,99.346542942444,98.989644422896,221.512959500148
422,2.71950615153371,89.2069515102815,88.0333297059271,202.440161669494
423,4.28465737911529,50.7862853621472,48.3593415776356,91.8187030043459
424,2.77601441818238,310.087245759235,386.904086483022,696.494942873266
425,2.45110459206165,286.284372144009,347.310267527406,684.320097271272
426,2.16856780833304,374.110896050496,505.524810447274,950.730663313512
427,2.31420417724848,357.596400139682,473.082638670193,879.701894085016
428,2.88432387985709,366.334285476564,490.076624145427,807.23280759145
429,2.90176543966243,310.040829205128,386.82468178398,681.131808590663
430,3.19160684509674,117.590809192837,119.247749922219,246.327195691012
431,2.77894635215516,93.9178929048957,93.097452110089,210.839256964622
432,4.93191066153559,69.4525204630588,67.2806665066199,117.037517722581
433,3.02031511254022,316.846211187587,398.561579362022,682.285782746499
